longditude;laditude;correlation
1.25;-88.75;-0.08805091520349237
3.75;-88.75;-0.08552746810650703
6.25;-88.75;-0.05818408970328476
8.75;-88.75;-0.07973452943944795
11.25;-88.75;-0.05505837726375458
13.75;-88.75;-0.07024784363691786
16.25;-88.75;-0.10721044291619695
18.75;-88.75;-0.06314242883190557
21.25;-88.75;-0.09069642968524368
23.75;-88.75;-0.09747630163253734
26.25;-88.75;-0.13562946506362536
28.75;-88.75;-0.10654151384548861
31.25;-88.75;-0.09993430826801648
33.75;-88.75;-0.12632726457916052
36.25;-88.75;-0.10312855191796332
38.75;-88.75;-0.08337045746888593
41.25;-88.75;-0.09844051430437595
43.75;-88.75;-0.07437071766402235
46.25;-88.75;-0.15493341195566154
48.75;-88.75;-0.09722504559738382
51.25;-88.75;-0.13258188157631554
53.75;-88.75;-0.13696044281244682
56.25;-88.75;-0.10880754741320664
58.75;-88.75;-0.18192138059028803
61.25;-88.75;-0.15106860220697926
63.75;-88.75;-0.125368404312415
66.25;-88.75;-0.13732108818762254
68.75;-88.75;-0.14835657833769988
71.25;-88.75;-0.14768678245557604
73.75;-88.75;-0.07458345459576894
76.25;-88.75;-0.14484263730203892
78.75;-88.75;-0.11714663829888387
81.25;-88.75;-0.1429664589863866
83.75;-88.75;-0.11130156189140214
86.25;-88.75;-0.09891592053295341
88.75;-88.75;-0.10810279737820128
91.25;-88.75;-0.1452302372018106
93.75;-88.75;-0.10339546517748653
96.25;-88.75;-0.08303878204032063
98.75;-88.75;-0.13781234547046484
101.25;-88.75;-0.16085509805828546
103.75;-88.75;-0.14010474572128523
106.25;-88.75;-0.13704710159491948
108.75;-88.75;-0.12665593932266692
111.25;-88.75;-0.1287912068910795
113.75;-88.75;-0.1459976488860139
116.25;-88.75;-0.11833058552247645
118.75;-88.75;-0.1237374292540703
121.25;-88.75;-0.12842921777428723
123.75;-88.75;-0.08652329861474065
126.25;-88.75;-0.10304153044645022
128.75;-88.75;-0.12045087908612408
131.25;-88.75;-0.14591181834184405
133.75;-88.75;-0.1276697481647043
136.25;-88.75;-0.084292999435437
138.75;-88.75;-0.09185408749997756
141.25;-88.75;-0.12260687012950874
143.75;-88.75;-0.15430719077698252
146.25;-88.75;-0.17878083070799686
148.75;-88.75;-0.1414392288038194
151.25;-88.75;-0.17630102626094044
153.75;-88.75;-0.14279286853623788
156.25;-88.75;-0.14379885212026094
158.75;-88.75;-0.15956368431459111
161.25;-88.75;-0.09666390568473615
163.75;-88.75;-0.12770290310156449
166.25;-88.75;-0.14493134160199195
168.75;-88.75;-0.15347458433735564
171.25;-88.75;-0.1759579722799186
173.75;-88.75;-0.18907302287557579
176.25;-88.75;-0.12996607359105186
178.75;-88.75;-0.23771876555745272
181.25;-88.75;-0.22601561738244935
183.75;-88.75;-0.15421405555618467
186.25;-88.75;-0.12091353467782195
188.75;-88.75;-0.13139829067040773
191.25;-88.75;-0.05903794512866111
193.75;-88.75;-0.1337053563183971
196.25;-88.75;-0.15072970420321
198.75;-88.75;-0.13018293438571082
201.25;-88.75;-0.13761856938547198
203.75;-88.75;-0.10452972077659277
206.25;-88.75;-0.10756001486557504
208.75;-88.75;-0.11181043858356135
