longditude;laditude;oni_coefficient_minus_zero_lag
1.25;-88.75;-0.07000000000000000666
3.75;-88.75;-0.07000000000000000666
6.25;-88.75;-0.05000000000000000278
8.75;-88.75;-0.02999999999999999889
11.25;-88.75;-0.07000000000000000666
13.75;-88.75;-0.05999999999999999778
16.25;-88.75;-0.05000000000000000278
18.75;-88.75;-0.08999999999999999667
21.25;-88.75;-0.04000000000000000083
23.75;-88.75;-0.04000000000000000083
26.25;-88.75;-0.05000000000000000278
28.75;-88.75;-0.04000000000000000083
31.25;-88.75;-0.07000000000000000666
33.75;-88.75;-0.02999999999999999889
36.25;-88.75;-0.07000000000000000666
38.75;-88.75;-0.05999999999999999778
41.25;-88.75;-0.04000000000000000083
43.75;-88.75;-0.04000000000000000083
46.25;-88.75;-0.08000000000000000167
48.75;-88.75;-0.04000000000000000083
51.25;-88.75;-0.08999999999999999667
53.75;-88.75;-0.05000000000000000278
56.25;-88.75;-0.05999999999999999778
58.75;-88.75;-0.01000000000000000021
61.25;-88.75;-0.02000000000000000042
63.75;-88.75;-0.05999999999999999778
66.25;-88.75;-0.04000000000000000083
68.75;-88.75;-0.05000000000000000278
71.25;-88.75;-0.04000000000000000083
73.75;-88.75;-0.05999999999999999778
76.25;-88.75;-0.05999999999999999778
78.75;-88.75;0.000000000000000000
81.25;-88.75;-0.04000000000000000083
83.75;-88.75;-0.05000000000000000278
86.25;-88.75;-0.04000000000000000083
88.75;-88.75;-0.02999999999999999889
91.25;-88.75;-0.02999999999999999889
93.75;-88.75;-0.05000000000000000278
96.25;-88.75;-0.04000000000000000083
98.75;-88.75;-0.02000000000000000042
101.25;-88.75;-0.05000000000000000278
103.75;-88.75;-0.05000000000000000278
106.25;-88.75;-0.07000000000000000666
108.75;-88.75;-0.08000000000000000167
111.25;-88.75;-0.08000000000000000167
113.75;-88.75;-0.08000000000000000167
116.25;-88.75;-0.04000000000000000083
118.75;-88.75;-0.05000000000000000278
121.25;-88.75;-0.1100000000000000006
123.75;-88.75;-0.05999999999999999778
126.25;-88.75;-0.07000000000000000666
128.75;-88.75;-0.08999999999999999667
131.25;-88.75;-0.04000000000000000083
133.75;-88.75;-0.04000000000000000083
136.25;-88.75;-0.08000000000000000167
138.75;-88.75;-0.05000000000000000278
141.25;-88.75;-0.02999999999999999889
143.75;-88.75;-0.02000000000000000042
146.25;-88.75;-0.05000000000000000278
148.75;-88.75;-0.02000000000000000042
151.25;-88.75;-0.02000000000000000042
153.75;-88.75;-0.02999999999999999889
156.25;-88.75;-0.02000000000000000042
158.75;-88.75;-0.05999999999999999778
161.25;-88.75;-0.02000000000000000042
163.75;-88.75;-0.04000000000000000083
166.25;-88.75;-0.05000000000000000278
168.75;-88.75;-0.04000000000000000083
171.25;-88.75;-0.02999999999999999889
173.75;-88.75;-0.05000000000000000278
176.25;-88.75;-0.08000000000000000167
178.75;-88.75;-0.05000000000000000278
181.25;-88.75;-0.07000000000000000666
183.75;-88.75;-0.04000000000000000083
186.25;-88.75;-0.08999999999999999667
188.75;-88.75;-0.05999999999999999778
191.25;-88.75;-0.05999999999999999778
193.75;-88.75;-0.05000000000000000278
196.25;-88.75;-0.05999999999999999778
198.75;-88.75;-0.02999999999999999889
201.25;-88.75;-0.07000000000000000666
203.75;-88.75;-0.04000000000000000083
206.25;-88.75;-0.02999999999999999889
208.75;-88.75;-0.08000000000000000167
211.25;-88.75;-0.05000000000000000278
213.75;-88.75;-0.04000000000000000083
216.25;-88.75;-0.08000000000000000167
218.75;-88.75;-0.05000000000000000278
221.25;-88.75;-0.08000000000000000167
223.75;-88.75;-0.05000000000000000278
226.25;-88.75;-0.05999999999999999778
228.75;-88.75;-0.04000000000000000083
231.25;-88.75;-0.04000000000000000083
233.75;-88.75;-0.05000000000000000278
236.25;-88.75;-0.08999999999999999667
238.75;-88.75;-0.05000000000000000278
241.25;-88.75;-0.07000000000000000666
243.75;-88.75;-0.04000000000000000083
246.25;-88.75;-0.1000000000000000056
248.75;-88.75;-0.08000000000000000167
251.25;-88.75;-0.08000000000000000167
253.75;-88.75;-0.08000000000000000167
256.25;-88.75;-0.08999999999999999667
258.75;-88.75;-0.04000000000000000083
261.25;-88.75;-0.08000000000000000167
263.75;-88.75;-0.05000000000000000278
266.25;-88.75;-0.1000000000000000056
268.75;-88.75;-0.1000000000000000056
271.25;-88.75;-0.1000000000000000056
273.75;-88.75;-0.08000000000000000167
276.25;-88.75;-0.08999999999999999667
278.75;-88.75;-0.08000000000000000167
281.25;-88.75;-0.07000000000000000666
283.75;-88.75;-0.08999999999999999667
286.25;-88.75;-0.05999999999999999778
288.75;-88.75;-0.05000000000000000278
291.25;-88.75;-0.05000000000000000278
293.75;-88.75;-0.05999999999999999778
296.25;-88.75;-0.05000000000000000278
298.75;-88.75;-0.08000000000000000167
301.25;-88.75;-0.1000000000000000056
303.75;-88.75;-0.08000000000000000167
306.25;-88.75;-0.02999999999999999889
308.75;-88.75;-0.05999999999999999778
311.25;-88.75;-0.08000000000000000167
313.75;-88.75;-0.07000000000000000666
316.25;-88.75;-0.07000000000000000666
318.75;-88.75;-0.02000000000000000042
321.25;-88.75;-0.05000000000000000278
323.75;-88.75;-0.07000000000000000666
326.25;-88.75;-0.05000000000000000278
328.75;-88.75;-0.08999999999999999667
331.25;-88.75;-0.05000000000000000278
333.75;-88.75;-0.08000000000000000167
336.25;-88.75;-0.08999999999999999667
338.75;-88.75;-0.05999999999999999778
341.25;-88.75;-0.05000000000000000278
343.75;-88.75;-0.05999999999999999778
346.25;-88.75;-0.08999999999999999667
348.75;-88.75;-0.04000000000000000083
351.25;-88.75;-0.07000000000000000666
353.75;-88.75;-0.07000000000000000666
356.25;-88.75;-0.04000000000000000083
358.75;-88.75;-0.07000000000000000666
1.25;-86.25;-0.07000000000000000666
3.75;-86.25;0.000000000000000000
6.25;-86.25;0.01000000000000000021
8.75;-86.25;0.01000000000000000021
11.25;-86.25;-0.08999999999999999667
13.75;-86.25;0.01000000000000000021
16.25;-86.25;-0.01000000000000000021
18.75;-86.25;-0.08000000000000000167
21.25;-86.25;-0.07000000000000000666
23.75;-86.25;-0.05000000000000000278
26.25;-86.25;-0.05000000000000000278
