month;year;total;climadjust;anomaly;oni;maximum oni value;minimum oni value;condition;id
1;1950;24.56;26.18;-1.62;-1.4700000286102295;-1.4700000286102295;-1.4700000286102295;La Nina Event;1
2;1950;25.07;26.39;-1.32;-1.3366667032241821;-1.3366667032241821;-1.4700000286102295;La Nina Event;2
3;1950;25.88;26.95;-1.07;-1.1666667064030964;-1.1666667064030964;-1.4700000286102295;La Nina Event;3
4;1950;26.29;27.39;-1.11;-1.1833333571751912;-1.1666667064030964;-1.4700000286102295;La Nina Event;4
5;1950;26.19;27.56;-1.37;-1.0733333428700764;-1.0733333428700764;-1.4700000286102295;La Nina Event;5
6;1950;26.47;27.21;-0.74;-0.850000003973643;-0.850000003973643;-1.3366667032241821;La Nina Event;6
7;1950;26.28;26.72;-0.44;-0.5333333313465118;-0.5333333313465118;-1.1833333571751912;La Nina Event;7
8;1950;25.88;26.3;-0.42;-0.4233333269755046;-0.4233333269755046;-1.1833333571751912;Normal Conditions;8
9;1950;25.73;26.14;-0.41;-0.38333332538604736;-0.38333332538604736;-1.0733333428700764;Normal Conditions;9
10;1950;25.68;26.01;-0.32;-0.44333333770434064;-0.38333332538604736;-0.850000003973643;Normal Conditions;10
11;1950;25.46;26.06;-0.6;-0.600000003973643;-0.38333332538604736;-0.600000003973643;Normal Conditions;11
12;1950;25.29;26.18;-0.88;-0.800000011920929;-0.38333332538604736;-0.800000011920929;Normal Conditions;12
1;1951;25.26;26.18;-0.92;-0.8200000127156576;-0.38333332538604736;-0.8200000127156576;Normal Conditions;13
2;1951;25.72;26.39;-0.66;-0.5400000140070915;-0.44333333770434064;-0.8200000127156576;Normal Conditions;14
3;1951;26.91;26.95;-0.04;-0.16666667411724725;-0.16666667411724725;-0.8200000127156576;Normal Conditions;15
4;1951;27.59;27.39;0.2;0.17666666954755783;0.17666666954755783;-0.8200000127156576;Normal Conditions;16
5;1951;27.93;27.56;0.37;0.3633333295583725;0.3633333295583725;-0.8200000127156576;Normal Conditions;17
6;1951;27.73;27.21;0.52;0.5866666634877523;0.5866666634877523;-0.5400000140070915;Normal Conditions;18
7;1951;27.59;26.72;0.87;0.699999988079071;0.699999988079071;-0.16666667411724725;Normal Conditions;19
8;1951;27.01;26.3;0.71;0.8866666754086813;0.8866666754086813;0.17666666954755783;Normal Conditions;20
9;1951;27.22;26.14;1.08;0.9933333595593771;0.9933333595593771;0.3633333295583725;Normal Conditions;21
10;1951;27.2;26.01;1.19;1.1533333857854207;1.1533333857854207;0.5866666634877523;El Nino Event;22
11;1951;27.25;26.06;1.19;1.040000041325887;1.1533333857854207;0.699999988079071;El Nino Event;23
12;1951;26.92;26.18;0.74;0.8066666920979818;1.1533333857854207;0.8066666920979818;El Nino Event;24
1;1952;26.67;26.18;0.49;0.5333333412806193;1.1533333857854207;0.5333333412806193;El Nino Event;25
2;1952;26.75;26.39;0.37;0.3666666696468989;1.1533333857854207;0.3666666696468989;Normal Conditions;26
3;1952;27.19;26.95;0.24;0.3433333287636439;1.040000041325887;0.3433333287636439;Normal Conditions;27
4;1952;27.81;27.39;0.42;0.2966666618982951;0.8066666920979818;0.2966666618982951;Normal Conditions;28
5;1952;27.79;27.56;0.23;0.20666666390995184;0.5333333412806193;0.20666666390995184;Normal Conditions;29
6;1952;27.18;27.21;-0.03;6.20881716410319e-10;0.3666666696468989;6.20881716410319e-10;Normal Conditions;30
7;1952;26.52;26.72;-0.2;-0.07666666743655999;0.3433333287636439;-0.07666666743655999;Normal Conditions;31
8;1952;26.3;26.3;-0;0.0033333301544189453;0.2966666618982951;-0.07666666743655999;Normal Conditions;32
9;1952;26.35;26.14;0.21;0.15333333114782968;0.20666666390995184;-0.07666666743655999;Normal Conditions;33
10;1952;26.25;26.01;0.25;0.10666666428248088;0.15333333114782968;-0.07666666743655999;Normal Conditions;34
11;1952;25.92;26.06;-0.14;0.0466666662444671;0.15333333114782968;-0.07666666743655999;Normal Conditions;35
12;1952;26.21;26.18;0.03;0.15000000037252903;0.15333333114782968;0.0033333301544189453;Normal Conditions;36
1;1953;26.74;26.18;0.56;0.40000000533958274;0.40000000533958274;0.0466666662444671;Normal Conditions;37
2;1953;27;26.39;0.61;0.596666673819224;0.596666673819224;0.0466666662444671;Normal Conditions;38
3;1953;27.57;26.95;0.62;0.6233333349227905;0.6233333349227905;0.0466666662444671;Normal Conditions;39
4;1953;28.03;27.39;0.64;0.6566666563351949;0.6566666563351949;0.15000000037252903;Normal Conditions;40
5;1953;28.28;27.56;0.71;0.749999980131785;0.749999980131785;0.40000000533958274;Normal Conditions;41
6;1953;28.12;27.21;0.9;0.7699999809265137;0.7699999809265137;0.596666673819224;El Nino Event;42
7;1953;27.42;26.72;0.7;0.7433333198229471;0.7699999809265137;0.6233333349227905;El Nino Event;43
8;1953;26.93;26.3;0.63;0.7266666690508524;0.7699999809265137;0.6566666563351949;El Nino Event;44
9;1953;27;26.14;0.85;0.7800000111262003;0.7800000111262003;0.7266666690508524;El Nino Event;45
10;1953;26.87;26.01;0.86;0.8433333436648051;0.8433333436648051;0.7266666690508524;El Nino Event;46
11;1953;26.88;26.06;0.82;0.8366666634877523;0.8433333436648051;0.7266666690508524;El Nino Event;47
12;1953;27.01;26.18;0.83;0.8166666626930237;0.8433333436648051;0.7266666690508524;El Nino Event;48
1;1954;26.98;26.18;0.8;0.7566666603088379;0.8433333436648051;0.7566666603088379;El Nino Event;49
2;1954;27.03;26.39;0.64;0.4666666661699613;0.8433333436648051;0.4666666661699613;Normal Conditions;50
3;1954;26.91;26.95;-0.04;-0.04666667431592941;0.8366666634877523;-0.04666667431592941;Normal Conditions;51
4;1954;26.65;27.39;-0.74;-0.4099999989072482;0.8166666626930237;-0.4099999989072482;Normal Conditions;52
5;1954;27.11;27.56;-0.45;-0.5366666615009308;0.7566666603088379;-0.5366666615009308;Normal Conditions;53
6;1954;26.79;27.21;-0.42;-0.4966666599114736;0.4666666661699613;-0.5366666615009308;Normal Conditions;54
7;1954;26.1;26.72;-0.62;-0.6399999956289927;-0.04666667431592941;-0.6399999956289927;Normal Conditions;55
8;1954;25.42;26.3;-0.88;-0.8433333237965902;-0.4099999989072482;-0.8433333237965902;Normal Conditions;56
9;1954;25.11;26.14;-1.03;-0.8966666460037231;-0.4966666599114736;-0.8966666460037231;Normal Conditions;57
10;1954;25.22;26.01;-0.78;-0.7699999809265137;-0.4966666599114736;-0.8966666460037231;Normal Conditions;58
11;1954;25.56;26.06;-0.5;-0.7299999992052714;-0.6399999956289927;-0.8966666460037231;La Nina Event;59
12;1954;25.26;26.18;-0.91;-0.6566666762034098;-0.6566666762034098;-0.8966666460037231;La Nina Event;60
1;1955;25.62;26.18;-0.56;-0.6800000071525574;-0.6566666762034098;-0.8966666460037231;La Nina Event;61
2;1955;25.82;26.39;-0.57;-0.6166666746139526;-0.6166666746139526;-0.7699999809265137;La Nina Event;62
3;1955;26.23;26.95;-0.72;-0.6899999976158142;-0.6166666746139526;-0.7299999992052714;La Nina Event;63
4;1955;26.61;27.39;-0.78;-0.8033333420753479;-0.6166666746139526;-0.8033333420753479;La Nina Event;64
5;1955;26.65;27.56;-0.91;-0.7866666714350382;-0.6166666746139526;-0.8033333420753479;La Nina Event;65
6;1955;26.54;27.21;-0.67;-0.7200000087420145;-0.6166666746139526;-0.8033333420753479;La Nina Event;66
7;1955;26.14;26.72;-0.58;-0.6833333373069763;-0.6833333373069763;-0.8033333420753479;La Nina Event;67
8;1955;25.5;26.3;-0.8;-0.75;-0.6833333373069763;-0.8033333420753479;La Nina Event;68
9;1955;25.28;26.14;-0.87;-1.0900000135103862;-0.6833333373069763;-1.0900000135103862;La Nina Event;69
10;1955;24.41;26.01;-1.6;-1.4266666571299236;-0.6833333373069763;-1.4266666571299236;La Nina Event;70
11;1955;24.25;26.06;-1.81;-1.6733333269755046;-0.6833333373069763;-1.6733333269755046;La Nina Event;71
12;1955;24.57;26.18;-1.61;-1.4699999888737996;-0.75;-1.6733333269755046;La Nina Event;72
1;1956;25.34;26.33;-0.99;-1.1133333444595337;-1.0900000135103862;-1.6733333269755046;La Nina Event;73
2;1956;25.77;26.51;-0.74;-0.7566666801770529;-0.7566666801770529;-1.6733333269755046;La Nina Event;74
3;1956;26.47;27.01;-0.54;-0.6266666849454244;-0.6266666849454244;-1.6733333269755046;La Nina Event;75
4;1956;26.86;27.46;-0.6;-0.5333333512147268;-0.5333333512147268;-1.4699999888737996;La Nina Event;76
5;1956;27.13;27.59;-0.46;-0.5133333404858907;-0.5133333404858907;-1.1133333444595337;La Nina Event;77
6;1956;26.81;27.29;-0.48;-0.5066666603088379;-0.5066666603088379;-0.7566666801770529;La Nina Event;78
7;1956;26.22;26.8;-0.58;-0.5699999829133352;-0.5066666603088379;-0.6266666849454244;La Nina Event;79
8;1956;25.67;26.32;-0.65;-0.5533333222071329;-0.5066666603088379;-0.5699999829133352;La Nina Event;80
9;1956;25.72;26.15;-0.43;-0.4566666583220164;-0.4566666583220164;-0.5699999829133352;Normal Conditions;81
10;1956;25.74;26.03;-0.29;-0.42000000675519306;-0.42000000675519306;-0.5699999829133352;Normal Conditions;82
11;1956;25.56;26.1;-0.54;-0.4333333373069763;-0.42000000675519306;-0.5699999829133352;Normal Conditions;83
12;1956;25.71;26.18;-0.47;-0.4333333373069763;-0.42000000675519306;-0.5533333222071329;Normal Conditions;84
1;1957;26.04;26.33;-0.29;-0.2466666636367639;-0.2466666636367639;-0.4566666583220164;Normal Conditions;85
2;1957;26.54;26.51;0.02;0.05999999865889549;0.05999999865889549;-0.4333333373069763;Normal Conditions;86
3;1957;27.46;27.01;0.45;0.41333332285284996;0.41333332285284996;-0.4333333373069763;Normal Conditions;87
4;1957;28.23;27.46;0.77;0.7199999888737997;0.7199999888737997;-0.4333333373069763;Normal Conditions;88
5;1957;28.54;27.59;0.94;0.9199999769528707;0.9199999769528707;-0.2466666636367639;Normal Conditions;89
6;1957;28.35;27.29;1.05;1.1099999944369;1.1099999944369;0.05999999865889549;Normal Conditions;90
7;1957;28.15;26.8;1.34;1.25;1.25;0.41333332285284996;Normal Conditions;91
8;1957;27.68;26.32;1.36;1.3233333428700764;1.3233333428700764;0.7199999888737997;El Nino Event;92
9;1957;27.42;26.15;1.27;1.3333333333333333;1.3333333333333333;0.9199999769528707;El Nino Event;93
10;1957;27.41;26.03;1.37;1.3866666555404663;1.3866666555404663;1.1099999944369;El Nino Event;94
11;1957;27.62;26.1;1.52;1.5333333412806194;1.5333333412806194;1.25;El Nino Event;95
12;1957;27.89;26.18;1.71;1.7366666793823242;1.7366666793823242;1.3233333428700764;El Nino Event;96
1;1958;28.32;26.33;1.98;1.8033333619435628;1.8033333619435628;1.3333333333333333;El Nino Event;97
2;1958;28.24;26.51;1.72;1.653333346048991;1.8033333619435628;1.3866666555404663;El Nino Event;98
3;1958;28.27;27.01;1.26;1.2633333404858906;1.8033333619435628;1.2633333404858906;El Nino Event;99
4;1958;28.28;27.46;0.81;0.9266666571299235;1.8033333619435628;0.9266666571299235;El Nino Event;100
5;1958;28.3;27.59;0.71;0.7366666595141093;1.8033333619435628;0.7366666595141093;El Nino Event;101
6;1958;27.98;27.29;0.69;0.6366666555404663;1.653333346048991;0.6366666555404663;El Nino Event;102
7;1958;27.31;26.8;0.51;0.5733333230018616;1.2633333404858906;0.5733333230018616;El Nino Event;103
8;1958;26.84;26.32;0.52;0.4266666571299235;0.9266666571299235;0.4266666571299235;Normal Conditions;104
9;1958;26.4;26.15;0.25;0.3933333257834117;0.7366666595141093;0.3933333257834117;Normal Conditions;105
10;1958;26.45;26.03;0.41;0.4366666575272878;0.6366666555404663;0.3933333257834117;Normal Conditions;106
11;1958;26.75;26.1;0.65;0.4999999900658925;0.5733333230018616;0.3933333257834117;Normal Conditions;107
12;1958;26.61;26.18;0.44;0.6099999944368998;0.6099999944368998;0.3933333257834117;Normal Conditions;108
1;1959;27.07;26.33;0.74;0.6166666746139526;0.6166666746139526;0.3933333257834117;Normal Conditions;109
